source;target
хинидин;болезненность в место введение
амиодарон;наджелудочковый экстрасистолия
ингибировать апф;уменьшать опосредовать апф деградация брадикинин
дизопирамида;тошнота
карведилол;синергичный отрицательный инотропный действие
уменьшение выделение альдостерон;снижать общий периферический сосудистый сопротивление
амлодипин;периферический отёк
эритромицин;нарушение проводимость сердце
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;спутанность сознание
не изменять скорость клубочковой фильтрации;нарушение функция почка
морфин;белок плазма кровь
ивабрадин;синдром слабость синусовый узел
сертралин;рвота
восстановление;эластичность крупный артерия
эпинефрин;затрудненное и болезненное мочеиспускание
триметазидин;кожный зуд
колхицин;миопатия
фелодипин;гиперплазия слизистый язык и десна
амлодипин;тромбоцитопения
ацетазоламид;артралгия
увеличиваться активность ренин и содержание альдостерон;увеличение экскреция ион калий с моча и снижение содержание калий в кровь
увеличивать синтез простагландин;снижать преднагрузка
мефлохина;спазм мышца
рамиприл;периферический отёк
снижаться секреция альдостерон;восстановление структура сосудистый стенка мелкий артерия
соталола;тремор палец рука
амлодипин;припухлость в область сустав (область лодыжка)
метаболизироваться в печень;желтуха
амиодарон;диарея
ранолазин;сухость слизистый оболочка полость рот
эсциталопрам;низкий аффинность рецептор опиоидный
ибутилида;спазм мышца
бепридить;бронхоспазм
хинидин;тремор палец рука
снижение артериальный давление (АД);вертиго
снижение транспорт натрий внутрь клетка реснитчатый тело;уменьшение образование угольный кислота
уменьшение выделение альдостерон;снижать преднагрузка
бепридить;пилоэрекция
эналаприл;бронхоспазм
увеличиваться активность калликреин-кининовый система циркулировать;увеличение синтез простагландин е2
повышение внутриклеточный концентрация ион кальций адренорецептор α;усиливает гликогенолиз
внутричерепной кровотечение;геморрагический инсульт
ивабрадин;бронхоспазм
снижение содержание натрий сыворотка кровь;повышение содержание калий
периферический действие;повышение тонус мышца сфинктер мочевой пузырь
триметазидин;крапивница
ивабрадин;пилоэрекция
карведилол;атриовентрикулярный блокада
фозиноприл;ларингит
амиодарон;вазоспазм
уменьшать концентрация мочевой кислоты кровь;предотвращает отложение в ткань кристалл мочевой кислота
дигоксин;нарушение сон
цизаприд;реакция гиперчувствительность
мефлохина;тошнота
мефлохина;выраженный снижение ад
цизаприд;тревожность
фозиноприл;сухость в рот
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;ночные кошмары
астения;повышенный утомляемость с смена настроение, слабость, раздражительность, расстройство сон и др
ибутилида;тошнота
увеличение синтез простагландин е2;одышка
ибутилида;выраженный снижение ад
фозиноприл;одышка
эсциталопрам;риск развитие серотониновый синдром
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;деперсонализация
сертиндол;рвота
периндоприл;обморочный
повышение артериальный давление систолический;рефлекторный снижение частота сердечный сокращение
эналаприл;шум в ухо
ивабрадин;выраженный брадикардия с чсс не более 40 уд/мина
ацетазоламид;синдром стивенса6 джонсон
повышение внутриклеточный концентрация ион кальций адренорецептор α;тремор
гипотензивный действие;ортостатический гипотензия
пимозид;рвота
периндоприл;повышаться риск развитие гиперкалиемия
периферический действие;повышение тонус мышца мочевой пузырь
ингибирование if-канал синусовый узел;желудочковый экстрасистолия
ивабрадин;ингибирование ih-канал сетчатки глаза
хинидин;вертиго
снижать постнагрузка;снижение ад систолический
замедлять метаболизм брадикинин;кашель
повышать возбудимость миокард;аритмия
урежение чсс;брадикардия
увеличивать синтез простагландин;одышка
ортостатический гипотензия;церебральный ишемия
морфин;агонистом опиоидных рецепторов
повышение внутриклеточный концентрация ион кальций адренорецептор β;повышать возбудимость миокард
уменьшение образование ион бикарбонат;снижение транспорт натрий внутрь клетка эпендимоцит сосудистый сплетение
фелодипин;покраснение лица
хинидин;диплопия
морфин;мочеиспускание
эритромицин;кожный сыпь
эналаприл;лихорадка
периндоприл;стенокардия
антагонист альдостерон;эмпаглифлозин
эритромицин;повышение или снижение ад
дигоксин;крапивница
каптоприл;артралгия
норэпинефрин;озноб
влияние на обратный захват нейронами норадреналин;развитие полиморфной желудочковой тахикардии типа «пируэт»
ацетазоламид;анафилактический реакция
эналаприл;необычный сновидение
аллопуринол;брадикардия
хинидин;флебит
повышение активности ренина;снижением общего периферического сопротивления сосудов
противоподагрический препарат;препарат, не влиять на метаболизм мочевой кислота
валсартан;повышать утомляемость
средство для лечение заболевание сердце;триметазидин
периндоприл;недомогание
лизиноприл;усугубление симптом сердечный недостаточность
триметазидин;головокружение
ацетазоламид;жкт почка
эсциталопрам;тремор вкусовой ощущение
эсциталопрам;низкий аффинность рецептор гистамин h1
дизопирамида;вазоспазм
мефлохина;наджелудочковый экстрасистолия
фозиноприл;инфаркт миокард
периндоприл;ангионевротический отёк
ибутилида;наджелудочковый экстрасистолия
зипразидон;нарушение проводимость сердце
снижать давление в лёгочный капилляр артериальный давление;головной боль
уменьшать общий периферический сосудистый сопротивление;постуральный гипотензия
периндоприл;отёк
выраженный снижение ад;инфаркт лёгкий
ранолазин;боль в живот
периндоприл;токсический эпидермальный некролизприпухлость
блокатор «медленных» кальциевых каналов;расслаблять гладкий мускулатура дыхательный путь
уменьшение объём циркулировать кровь;гемоконцентрация
эритромицин;гиперурикемия
мефлохина;диарея
метформин;повышать чувствительность периферический рецептор
пентамидин;полиурия
гидрохлоротиазид;желудочковый аритмия
небиволол;«кошмарный» сновидение
сакубитрил;диарея
синдром «отмена»;головной боль
амлодипин;повышение частота сердечно-сосудистый заболеваемость
ибутилида;диарея
эритромицин;недомогание, возможно, связанный с брадикардия
периндоприл;олигурия
ингибитор распад брадикинин;обладать сосудорасширяющий действие
эритромицин;одышка
дигоксин;головокружение
аллопуринол;агранулоцитоз
галофантрина;нарушение проводимость сердце
лизиноприл;астенический синдром
противоподагрическое действие;снижение миграция лейкоцит в очаг воспаления
периндоприл;увеличение концентрация литий в сыворотка кровь
лизиноприл;парестезия
снижать давление в лёгочный капилляр артериальный давление;артериальный гипотензия
рамиприл;снижение аппетит
ранолазин;анорексия
мефлохина;вазоспазм
эналаприл;тромбоцитопения
каптоприл;ингибировать апф
психотический расстройство;поведение панический
ибутилида;вазоспазм
ингибитор апф;уменьшать деградация брадикинин
колхицин;обесцвечивание волос
фозиноприл;"повышение активность ""печеночный"" трансаминаз"
бепридить;реакция гиперчувствительность
норэпинефрин;стимулировать действие β-адренорецептор
амлодипин;кожный сыпь
лекарственный средство (лс), удлинять интервал qt;лс, удлинять интервал qt, не относиться к антиаритмический средство
амлодипин;обострение псориаз
бепридить;тревожность
периндоприл;депрессия
каптоприл;эритродермия
вазодилатировать действие;«прилив» кровь к кожа лицо
ацетазоламид;почечный и мочеточниковый колика
ивабрадин;реакция гиперчувствительность
обладать сосудорасширяющий действие;увеличивать почечный кровоток
лс, удлинять интервал qt, не относиться к антиаритмический средство;галофантрина
снижение концентрация альдостерон;гиперкалиемия
периферический действие;панкреатит
ивабрадин;тревожность
рамиприл;кожный сыпь
лизиноприл;ощущение сердцебиение
лизиноприл;миалгия
ранолазин;аллергический дерматит
валсартан;артралгия
ингибитор фермент, превращать ангиотензин i в ангиотензин ii;ингибитор распад брадикинин
цизаприд;повышение или снижение ад
снижение концентрация ангиотензин ii;блокировать разрушение брадикинин
колхицин;носовой кровотечение
амлодипин;эозинофильный пневмония
снижать активность ренин-ангиотензин-альдостеронов система (раас);уменьшение секреция альдостерон кора надпочечник
гидрохлоротиазид;концентрация мочевой кислота в сыворотка кровь
гипогликемический действие;снижать базальный концентрация глюкоза в плазма кровь
ацетазоламид;полиурия
норэпинефрин;боль в область грудина и средостение
рамиприл;нейтропение
ранолазин;диспепсия
фуросемид;шум в ухо
уменьшать опсс;восстановление эластичность крупный артерия
эсциталопрам;эмоциональный неустойчивость
уменьшение объём циркулировать кровь;лейкопения
угнетение фермент гипоксантин-гуанин фосфорибозил-трансферазa;угнетение биосинтез пурин
подавлять агрегация тромбоцит;геморрагия
пентамидин;кожный зуд
рамиприл;психомоторный реакция
расширение коронарный сосуд;улучшать коронарный кровоток
каптоприл;запор
повышает скорость клубочковой фильтрации;нарушение функция почка
адренорецептор β1;сердечный недостаточность
галофантрина;кожный сыпь
уменьшение концентрация ангиотензин ii;устранять вазоконстрикторный воздействие
галофантрина;повышение или снижение ад
адренорецептор β1;снижать общий периферический сосудистый сопротивление
кандесартан;желчь
препятствовать задержка вода;снижать артериальный давление
соталола;рвота
эсциталопрам;миалгия
рамиприл;угнетение костномозговой кроветворение
колхицин;брадикардия
ранолазин;холодный пот
амлодипин;одышка
амиодарон;мидриаз
печень;моча
хинидин;рвота
пентамидин;крапивница
ингибитор натрий-зависимый переносчик глюкоза 2 тип;уменьшение реабсорбция глюкоза в почка
зипразидон;гиперурикемия
каптоприл;нечёткость зрение
амлодипин;многоформный эритема
сакубитрил;астения
периндоприл;звон
норэпинефрин;снижение почечный кровоток
рамиприл;одышка
рамиприл;фатальный панкреатит
амиодарон;изменение световосприятие (фотопсия)
зипразидон;недомогание, возможно, связанный с брадикардия
снижать давление в лёгочный капилляр артериальный давление;вертиго
рамиприл;стеноз сосуд
эсциталопрам;метроррагия
фуросемид;местный реакция в вид боль
амлодипин;травма
сертиндол;боль в живот
зипразидон;повышение конечный диастолический давление в левый желудочек
эсциталопрам;возбуждение
пимозид;боль в живот
каптоприл;полиурия
нарушение продукция;пролактин
фелодипин;кишечник
эритромицин;болезненность в место введение
высвобождать из свой молекула оксид азот;расслаблять гладкомышечный клетка жёлчный проток
цизаприд;кровотечение из желудочнокишечный тракт
галофантрина;гиперурикемия
ацетазоламид;кожный зуд
блокатор;адренорецептор β1
фелодипин;фарингит
норэпинефрин;повышение ад
аллопуринол;сыпь
бронхоспазм;гипоксия
гидрохлоротиазид;манифестация латентно протекать сахарный диабет
фозиноприл;кожная сыпь
галофантрина;недомогание, возможно, связанный с брадикардия
амиодарон;повышение концентрация креатинин
лизиноприл;ингибитор апф
фозиноприл;боль в грудной клетка
подавлять агрегация тромбоцит;кровоточивость десен
галофантрина;одышка
колхицин;боль в животе
лизиноприл;лихорадка
периферический действие;эритема
увеличение активность ренин в плазма кровь;уменьшение секреция альдостерон
ингибитор ангиотензинпревращающать фермент;накопление брадикинин
антиаритмический средство, удлинять интервал qt;дизопирамида
амлодипин;инфаркт миокард
дилатация коронарный сосуд;улучшение кровоснабжение миокард
эритромицин;тремор палец рука
карведилол;рвота
снижать артериальный давление;понижение артериального давления
периндоприл;эозинофилия
уменьшать концентрация глюкоза в плазма кровь;гипогликемия
рамиприл;нарушение слух
ацетазоламид;крапивница
нитроглицерин;снижение ад
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;головокружение
метформин;воздействовать на гликогенсинтаз
рамиприл;инфаркт миокард
фелодипин;отек лодыжек
фелодипин;кровоподтек
синдром «отмена»;спазм в желудок
эсциталопрам;сенсорный нарушение
эпинефрин;симпатомиметик
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;психомоторный возбуждение
гипокалиемия;снижение аппетит
ацетазоламид;кристаллурия
амлодипин;гемолитический анемия
дизопирамида;изменение световосприятие (фотопсия)
колхицин;периферическая нейропатия
аллопуринол;паралич
периндоприл;гиперкалиемия
аллопуринол;ангиоиммунобластная Т-клеточная лимфома
ингибирование цог-1;перфоративные язвы слизистой оболочки желудка и двенадцатиперстной кишки
фелодипин;печени
ивабрадин;повышение или снижение ад
сертиндол;желудочковый или наджелудочковый аритмия
уменьшать образование ангиотензин II;устранять ингибирующее влияние на секреция ренин
эсциталопрам;эякуляция
гидрохлоротиазид;острый приступ вторичный закрытоугольный глаукома
фозиноприл;гиперкреатининемия
эналаприл;пемфигус
устранять вазоконстрикторный воздействие сосуд венозный;антигипертензивный эффект
гипертермия;озноб
фелодипин;сухость в рот
эритромицин;вертиго
снижение содержание ангитензин ii в плазма кровь;восстановление эластичность крупный артерия
амиодарон;шок (у пациент с бронхиальный астма)
вызывать расширение периферический артериол;уменьшать общий периферический сосудистый сопротивление
рамиприл;глоссит
селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр;аноргазмий
нарушение функция почка;острый почечный недостаточность
фуросемид;холестаз
эритромицин;диплопия
стимулировать at2 рецептор;ортостатическая гипотензия
периндоприл;повышение частота сердечнососудистый заболеваемость и смертность
ранолазин;галлюцинация
мефлохина;мидриаз
дигоксин;гинекомастие
метформин;рвота
ибутилида;мидриаз
эритромицин;флебит
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;конверсионное расстройство
аллопуринол;гиперлипидемия
побочный эффект;связать с механизм действие
антиаритмический средство, удлинять интервал qt;бепридить
мефлохина;изменение световосприятие (фотопсия)
спиронолактон;дегидратация
эналаприл;лимфаденопатия
эналаприл;аллергический альвеолит/эозинофильный пневмония
снижать артериальный давление;антигипертензивный действие
амиодарон;запор
ибутилида;изменение световосприятие (фотопсия)
снижать активность ренин-ангиотензин-альдостеронов система (раас);увеличение активность ренин плазма кровь
эсциталопрам;риска перелом кость
ацетазоламид;головокружение
дигоксин;неврит
каптоприл;крапивница
цизаприд;тошнота
рамиприл;гепатоцеллюлярный поражение
пимозид;кожный зуд
зипразидон;болезненность в место введение
фозиноприл;остановка сердце
валсартан;острый почечный недостаточность
снижать общий периферический сосудистый сопротивление артериальный давление;брадикардия
нарушение водный-электролитный баланс;гипохлоремия
ивабрадин;одышка
центральный действие;действие противорвотный
ингибитор распад брадикинин;повышение активность калликреин-кининовый система тканевый
снижать канальцевый реабсорбция натрий;диуретический эффект
печень;повышение активность печёночный фермент
соталола;шок (у пациент с бронхиальный астма)
снижение артериальный давление;тахикардия
эналаприл;многоформный эритема
урежение чсс;удлинение интервал qt
мефлохина;повышение концентрация креатинин
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;гиперрефлексия
каптоприл;аллергический альвеолит
эналаприл;увеличение концентрация билирубин в сыворотка кровь
аллопуринол;гинекомастия
нарушение водный-электролитный баланс;судорога
бепридить;кровотечение из желудочнокишечный тракт
фуросемид;изменение картина периферический кровь
ибутилида;повышение концентрация креатинин
обладать высокий сродство к µ-опиоидный рецептор;центральный действие замедлять сердечный ритм
колхицин;азоспермия
колхицин;олигоспермия
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;повышенная возбудимость
эпинефрин;парентерально
дизопирамида;шок (у пациент с бронхиальный астма)
ивабрадин;кровотечение из желудочнокишечный тракт
галофантрина;болезненность в место введение
колхицин;заболевание костный мозг
эналаприл;холестаз (включая желтуха)
накопление брадикинин;расширять сосуд
сохранять уровень высокоэнергетический фосфат в клетка миокард;антиишемический эффект
соталола;запор
фозиноприл;рвота
амлодипин;гипестезия
колхицин;сыпь
каптоприл;высыпание на кожа
небиволол;депрессия
эсциталопрам;зевательный судорога
гидрохлоротиазид;снижение потенция
дизопирамида;запор
расширение сосуд;ортостатический гипотензия
периндоприл;тремор
фозиноприл;дисгевзия
амиодарон;двигательный беспокойство
фелодипин;почка
стимулировать действие β-адренорецептор сердце;расширять коронарный артерия
колхицин;острый некроз скелетных мышц
колхицин;боль в мышца
аллопуринол;псевдолимфома
галофантрина;тремор палец рука
антигипертензивный действие;уменьшать гипертрофия левый желудочек
рамиприл;вертиго
ранолазин;парестезия
ранолазин;ингибитор поздний ток ион натрий в клетка миокард
ингибировать апф;уменьшать превращение ангиотензин i в ангиотензин ii
почка;нарушение функция почка
зипразидон;вертиго
колхицин;общее недомогание
валсартан;кожный зуд
эсциталопрам;симптом отмена
рамиприл;ишемия головной мозг
амлодипин;пемфигоид
каптоприл;отёк лёгкий
антиаритмический;брадикардия
обладать сосудорасширяющий действие;«прилив» кровь к лицо
зипразидон;диплопия
амиодарон;av блокада ii и iii степень
антагонист рецептор ангиотензин ii;сакубитрил
рамиприлат;почка
валсартан;повышение содержание азот мочевина в плазма кровь
эналаприл;гемолитический анемия
амлодипин;боль в грудной клетка
соталола;полиурия
карведилол;общий слабость
зипразидон;флебит
снижение общий периферический сосудистый сопротивление;снижение артериальный давление
периферический действие;повышение тонус мышца
гипотензия;вертиго
аллопуринол;стенокардия
хинидин;полиурия
рамиприл;кожная сыпь
галофантрина;вертиго
спиронолактон;экзема
фуросемид;почечный недостаточность
выведение вода из организм;мочегонное действие
цизаприд;вазоспазм
фозиноприл;транзиторный ишемический атака
снижаться секреция альдостерон;снижать постнагрузка
фозиноприл;кровоизлияние в кожа
карведилол;запор
действовать на ренин-ангиотензиновый система;антагонист рецептор ангиотензин ii
галофантрина;диплопия
эналаприл;аутоиммунный
фозиноприл;расстройство аппетит
накопление брадикинин;способствовать периферический вазодилатация
колхицин;профузный диарея
эндотелиальный релаксировать фактор;повышать внутриклеточный концентрация циклический гуанозинмонофосфатаз
накопление брадикинин;увеличиваться активность калликреин-кининовый система циркулировать
галофантрина;флебит
дизопирамида;двигательный беспокойство
бепридить;тошнота
ивабрадин;ингибирование ih-канал
анорексия;астения
пентамидин;бронхоспазм
эналаприл;ринит
колхицин;гиперлипидемия
периндоприл;лейкопения
амлодипин;повышенный потливость
пентамидин;пилоэрекция
урежение чсс;эффект антиишемический
блокатор адренорецептор β2;гипергликемия
эритромицин;рвота
повышение тонус мышца;спазм мышца
повышение активность калликреин-кининовый система;тканевый
дигоксин;макрой микропсия
антигипертензивный действие;артериальный гипотензия
уменьшение концентрация ангиотензин ii;антигипертензивный действие
антагонист альдостерона;калийсберегающий диуретик
каптоприл;тахикардия
центральный действие;эйфория
каптоприл;повышение активность «печёночный» фермент
снижение секреция альдостерон;снижение содержание объем жидкость
дизопирамида;av блокада ii и iii степень
повышение артериальный давление;тошнота
стимулировать действие α-адренорецептор;бессонница
учащенное мочеиспускание;гиповолемия
эпинефрин;печень
рамиприл;звон в ухо
ивабрадин;тремор палец рука
колхицин;гинекомастия
эсциталопрам;селективный ингибитор обратный захват серотонин (5-нт) с высокий аффинность к первичный активный центр
валсартан;головокружение
соталола;кожный зуд
метформин;повышать утилизация глюкоза клетка
периндоприл;кожный сыпь
мефлохина;двигательный беспокойство
фозиноприл;нарушение со сторона синусовый пазуха
фозиноприл;обострение течение подагра
периндоприл;обострение псориаз
метформин;снижать концентрация общий холестерин
колхицин;эректильная дисфункция
ибутилида;двигательный беспокойство
фуросемид;повышение концентрация креатинин в кровь
ранолазин;снижение масса тело
повышение концентрация циклический гуанозинмонофосфат (цГМФ);вазодилатация
хинидин;кожный зуд
фозиноприл;застой в легкий
периндоприл;повышение концентрация мочевина в плазма кровь
периндоприл;нейтропение
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;нарушение мышления
гидрохлоротиазид;лейкопения
повышение внутриклеточный концентрация ион кальций адренорецептор α;снижать внутриглазный давление
нарушение продукция;кортикостероид
фозиноприл;воспаление лимфатический узел
повышение внутриклеточный концентрация ион кальций адренорецептор α;тревожное состояние
бепридить;наджелудочковый экстрасистолия
норэпинефрин;бледность кожный покров
ацетазоламид;нарушение вкус
небиволол;непереносимость препарат
мефлохина;av блокада ii и iii степень
периндоприл;отёк квинке
этанол;усиление симптом вазодилатация
гипотензия;звон в ухо
ранолазин;гипергидроза
артериальный гипотензия;головокружение
спиронолактон;конкурентный антагонист альдостерон
лизиноприл;лимфаденопатия
амиодарон;неконтролируемый изменение ад
лизиноприл;аллергический альвеолит/эозинофильный пневмония
ибутилида;av блокада ii и iii степень
аллопуринол;депрессия
соталола;крапивница
снижение аппетит;анорексия
центральный действие;действие антидиуретический
ингибитор ангиотензинпревращающать фермент;уменьшать образование ангиотензин II
повышать автоматизм миокард;брадикардия
дигоксин;парестезия и обморок
амлодипин;повышение концентрация билирубин в кровь
нарушение водный-электролитный баланс;тетания
фуросемид;васкулит
лизиноприл;гипербилирубинемия
увеличение экскреция ион калий с моча и снижение содержание калий в кровь;гипокалиемия
амиодарон;экстрасистолия
амлодипин;ухудшение функция почка
лизиноприл;многоформный эритема
ингибитор ангиотензинпревращающать фермент;снижение миокард
фозиноприлат;желудочный-кишечный тракт
снижение концентрация ангиотензин ii;уменьшение секреция альдостерон
амлодипин;рвота
увеличение активность блуждать нерв;удлинение эффективный рефрактерный период
гидрохлоротиазид;преходящий нечёткость зрение
амлодипин;эректильный дисфункция
периферический вазодилатация;увеличивать почечный кровоток
норэпинефрин;печень
периндоприл;сухость в рот
эмпаглифлозин;внутрь
валсартан;реакция повышать чувствительность
сакубитрил;ортостатический головокружение
бепридить;вазоспазм
угнетение костномозговой кроветворение;уменьшение количество эритроцит
ацетазоламид;атаксия
карведилол;кожный зуд
увеличение содержание ион калий в сыворотка;гиперкалиемия
периндоприл;анафилактоидный реакция
эсциталопрам;низкий аффинность рецептор адренорецептор α1
кандесартан;антагонист рецептор ангиотензин ii 1 тип
вазодилатировать;уменьшать общий периферический сосудистый сопротивление
подавление деятельность костный мозг;лейкопения
увеличивать экскреция ион магний;гипомагниемия
амиодарон;гипокалиемия
соталола;неконтролируемый изменение ад
спиронолактон;порфириягиперхлоремический ацидоз
сертиндол;синдром слабость синусовый узел
центральный действие;снижение артериальный давление
ингибирование цог-1;эрозия слизистый оболочка желудок и двенадцатиперстной кишка
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;бессонница
аллопуринол;синдром исчезающих желчных протоков
высвобождение гистамин;бронхоспазм
фозиноприл;расстройство поведение
ранолазин;эрозивный дуоденит
эсциталопрам;яркий сон
снижать канальцевый реабсорбция вода;диуретический эффект
дизопирамида;неконтролируемый изменение ад
ингибирование if-канал синусовый узел;урежение чсс
пимозид;синдром слабость синусовый узел
карведилол;крапивница
пентамидин;реакция гиперчувствительность
повышение активность калликреин-кининовой система ткань;накопление брадикинин
ацетазоламид;печёночный колика
селективный ингибитор обратный захват серотонин (5-НТ) в нейронах;агрессия
уменьшать опосредовать апф деградация брадикинин;обладать сосудорасширяющий действие
средство, урежать сердечный ритм;увеличение auc
пентамидин;тревожность
галофантрина;рвота
увеличивать синтез простагландин;снижать давление в лёгочный капилляр артериальный давление
