оригинал;перевод
numbness, tingling, pain, or weakness in the hands or feet;онемение, покалывание, боль или слабость в руках или ногах
rapid breathing;быстрое дыхание
seizures;Припадки
sunken eyes;Затонувшие глаза
sweating;потоотделение
thirst;жажда
trembling;дрожь
weakness and heaviness of the legs;Слабость и тяжесть ног
back pain;боль в спине
lack or loss of strength;Недостаток или потеря силы
pain or tenderness around the eyes and cheekbones;боль или нежность вокруг глаз и скул
tightness of the chest;плотность груди
belching;отрыжка
bloated feeling;раздутое чувство
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
diarrhea;диарея
difficulty moving;трудности двигаться
discouragement;уныние
excess air or gas in the stomach or intestines;избыток воздуха или газа в желудке или кишечнике
feeling of fullness;чувство полноты
feeling sad or empty;Чувствуя грусть или пусто
hearing loss;Потеря слуха
injury;рана
irritability;раздражительность
leg pain;Боль в ногах
loss of interest or pleasure;потеря интереса или удовольствия
muscle ache, stiffness, tension, or tightness;мышечная боль, жесткость, напряжение или стеснение
neck pain;Боль в шее
nervousness;нервозность
pain, swelling, or redness in the joints;боль, отек или покраснение в суставах
passing of gas;прохождение газа
rash;сыпь
sleepiness or unusual drowsiness;сонливость или необычная сонливость
stomach discomfort or upset;дискомфорт или расстройство желудка
swollen joints;опухшие суставы
trouble concentrating;Проблема концентрируется
blurred vision;размытое зрение
chest pain;боль в груди
confusion;путаница
diarrhea;диарея
difficult or labored breathing;трудное или трудовое дыхание
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
nausea;тошнота
stomach pain;боль в животе
sweating;потоотделение
tightness in the chest;плотность в груди
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
bleeding gums;кровоточащие десны
cold, clammy skin;холодная, липкая кожа
enlarged pupils;Увеличенные зрачки
fast or slow heartbeat;быстрое или медленное сердцебиение
increased sensitivity of the skin or eyes to sunlight;Повышенная чувствительность кожи или глаз к солнечному свету
stiff or sore neck;жесткая или больная шея
headache;головная боль
back pain;боль в спине
coughing;кашель
difficulty with moving;Сложность с движением
joint pain;боль в суставах
muscle aching or cramping;мышечная боль
muscle pains or stiffness;мышечные боли или жесткость
rash;сыпь
swollen joints;опухшие суставы
blurred vision;размытое зрение
chest pain;боль в груди
confusion;путаница
diarrhea;диарея
difficult or labored breathing;трудное или трудовое дыхание
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
nausea;тошнота
stomach pain;боль в животе
sweating;потоотделение
tightness in the chest;плотность в груди
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
bleeding gums;кровоточащие десны
cold, clammy skin;холодная, липкая кожа
enlarged pupils;Увеличенные зрачки
fast or slow heartbeat;быстрое или медленное сердцебиение
increased sensitivity of the skin or eyes to sunlight;Повышенная чувствительность кожи или глаз к солнечному свету
stiff or sore neck;жесткая или больная шея
blurred vision;размытое зрение
confusion;путаница
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
arm, back, or jaw pain;рука, спина или боль в челюсти
chest pain or discomfort;боль в груди или дискомфорт
chest tightness or heaviness;Групкость или тяжесть груди
chills;озноб
cloudy urine;облачная моча
cold sweats;Холодные поты
decrease in urine output or decrease in urine-concentrating ability;Уменьшение вывода мочи или уменьшение способности концентрации мочи
diarrhea;диарея
fainting;обморок
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
shortness of breath;одышка
seizures;Припадки
unexplained bleeding or bruising;необъяснимое кровотечение или синяки
cough;кашель
nausea;тошнота
vomiting;рвота
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
muscle pain or stiffness;мышечная боль или жесткость
sensation of spinning;Ощущение спиннинг
stomach pain;боль в животе
weight loss;потеря веса
dizziness;головокружение
bloating or swelling of the face, arms, hands, lower legs, or feet;вздутие живота или отек лица, руки, руки, нижние ноги или ноги
chest tightness;Грузость груди
difficult or labored breathing;трудное или трудовое дыхание
fast, irregular, pounding, or racing heartbeat or pulse;быстрое, нерегулярное, стучащее или гоночное сердцебиение или пульс
feeling of constant movement of self or surroundings;чувство постоянного движения себя или окружения
lightheadedness;легкомысленность
rapid weight gain;Быстрое увеличение веса
sensation of spinning;Ощущение спиннинг
tingling of the hands or feet;покалывание рук или ног
unusual weight gain or loss;необычный прирост веса или потеря
abnormal or decreased touch sensation;ненормальное или уменьшенное сенсацию
agitation;агитация
blood in the urine;кровь в моче
blurred vision;размытое зрение
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
chest pain or discomfort;боль в груди или дискомфорт
chills;озноб
cold sweats;Холодные поты
coma;кома
confusion;путаница
decreased urine output;Снижение выхода мочи
depression;депрессия
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
fainting;обморок
headache;головная боль
hostility;враждебность
irritability;раздражительность
lethargy;летаргия
muscle twitching;мышечная подергивание
nausea;тошнота
seizures;Припадки
shakiness in the legs, arms, hands, or feet;шаттин в ногах, руках, руках или ногах
slow or irregular heartbeat;Медленное или нерегулярное сердцебиение
stupor;ступор
sweating;потоотделение
trembling or shaking of the hands or feet;дрожь или дрожание рук или ног
unusual tiredness or weakness;необычная усталость или слабость
decrease in frequency of urination;уменьшение частоты мочеиспускания
decrease in urine volume;уменьшение объема мочи
difficulty in passing urine [dribbling];Сложность при прохождении мочи [дриблинг]
large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
painful urination;болезненное мочеиспускание
seeing, hearing, or feeling things that are not there;Видеть, слышать или чувствовать вещи, которых нет
difficulty having a bowel movement (stool);трудности с движением кишечника (стул)
dry mouth;сухой рот
stomach pain;боль в животе
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
continuing ringing or buzzing or other unexplained noise in the ears;Продолжение звонка, гудя или другой необъяснимый шум в ушах
hearing loss;Потеря слуха
heartburn;изжога
indigestion;расстройство желудка
lack or loss of strength;Недостаток или потеря силы
stomach discomfort or upset;дискомфорт или расстройство желудка
vomiting;рвота
back pain;боль в спине
bleeding gums;кровоточащие десны
bloody stools;Кровавые табуретки
bowel or bladder dysfunction;Дисфункция кишечника или мочевого пузыря
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
coughing up blood;кашлять кровью
difficulty with breathing or swallowing;затруднение при дыхании или глотании
dizziness;головокружение
headache;головная боль
increased menstrual flow or vaginal bleeding;Увеличение менструального потока или вагинального кровотечения
leg weakness;слабость ноги
nosebleeds;носовые кровотечения
numbness;онемение
paralysis;паралич
prolonged bleeding from cuts;длительное кровотечение от порезов
red or black, tarry stools;красный или черный, табуретки
red or dark brown urine;красная или темно -коричневая моча
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
fainting;обморок
pain in the arms or legs;боль в руках или ногах
wound secretion;Секреция раны
burning feeling while urinating;горькое чувство при мочеиспускании
difficult or painful urination;трудное или болезненное мочеиспускание
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
blurred vision;размытое зрение
chest tightness;Грузость груди
chills;озноб
clay-colored stools;глиняный стул
cough;кашель
dark urine;темная моча
diarrhea;диарея
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever with or without chills;Лихорадка с или без озноб
general feeling of tiredness or weakness;общее чувство усталости или слабости
hives, itching, skin rash;ульи, зуд, кожная сыпь
hoarseness;охриплость
joint or muscle pain;боли в суставах или мышцах
loss of appetite;потеря аппетита
lower back or side pain;боль в пояснице или боковой боли
nausea;тошнота
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
red, irritated eyes;красные, раздраженные глаза
severe headache;Сильная головная боль
sore throat;больное горло
sores, ulcers, or white spots in the mouth or on the lips;язвы, язвы или белые пятна во рту или на губах
stomach pain or swelling;Боль в животе или набухание
unpleasant breath odor;Неприятный запах дыхания
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
yellow eyes or skin;желтые глаза или кожа
blisters;волдыри
muscle spasm;мышечные спазмы
abdominal or stomach pain;боль в животе или животе
blurred vision;размытое зрение
confusion;путаница
difficult breathing;Сложное дыхание
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
irregular heartbeat;аритмия
nausea or vomiting;тошнота или рвота
nervousness;нервозность
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
sweating;потоотделение
unusual tiredness or weakness;необычная усталость или слабость
weakness or heaviness of the legs;Слабость или тяжесть ног
bloody urine;кровавая моча
decreased frequency or amount of urine;снижение частоты или количества мочи
increased thirst;Увеличение жажды
loss of appetite;потеря аппетита
lower back or side pain;боль в пояснице или боковой боли
swelling of the face, fingers, or lower legs;Отек лица, пальцев или нижних ног
weight gain;увеличение веса
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
cough;кашель
dizziness;головокружение
decreased interest in sexual intercourse;Снижение интереса к половым актерам
failure to discharge semen (in men);Неспособность разряжать сперму (у мужчин)
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
bleeding gums;кровоточащие десны
blindness;слепота
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
bloating;вздутие живота
blood in the urine;кровь в моче
bloody, black, or tarry stools;кровавые, черные или трюки -табуретки
blue-yellow color blindness;сине-желтая дальтонина
blurred vision;размытое зрение
chest pain, discomfort, or tightness;Боль в груди, дискомфорт или стеснение
chills;озноб
clay-colored stools;глиняный стул
cough or hoarseness;кашель или хрипота
darkened urine;затемненная моча
decreased urine output;Снижение выхода мочи
decreased vision;Снижение зрения
delayed or inability to have an orgasm;Задержка или неспособность иметь оргазм
depressed mood;подавленное настроение
difficulty with breathing;Сложность с дыханием
difficulty with speaking;трудность с выступлением
difficulty with swallowing;Сложность при глотании
drooling;слюни
dry skin and hair;сухая кожа и волосы
eye pain;Боль в глазах
fainting;обморок
feeling cold;Чувствует холод
feeling of discomfort;чувство дискомфорта
feeling, seeing, or hearing things that are not there;Чувство, видеть или слышать вещи, которых нет
general feeling of discomfort, illness, tiredness, or weakness;общее чувство дискомфорта, болезни, усталости или слабости
hair loss;выпадение волос
high fever;высокая температура
high or low blood pressure;высокое или низкое кровяное давление
hoarseness or husky voice;хрипота или хриплый голос
hostility;враждебность
increased clotting times;Увеличенное время свертывания
indigestion;расстройство желудка
inflamed joints;воспаленные суставы
irritability;раздражительность
joint or muscle pain;боли в суставах или мышцах
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
lethargy;летаргия
lightheadedness;легкомысленность
loss of appetite;потеря аппетита
loss of balance control;Потеря контроля баланса
loss of bladder control;Потеря контроля мочевого пузыря
lower back or side pain;боль в пояснице или боковой боли
muscle aches;мышечные боли
muscle cramps and stiffness;мышечные спазмы и жесткость
muscle trembling, jerking, or stiffness;дрожание мышц, дрожание или жесткость
muscle twitching;мышечная подергивание
painful or difficult urination;болезненное или трудное мочеиспускание
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
pale skin;бледная кожа
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
rapid weight gain;Быстрое увеличение веса
rash;сыпь
red, irritated eyes;красные, раздраженные глаза
red, sore, or itching skin;красный, больная или зудящая кожа
right upper stomach pain and fullness;Правая боль в верхней части живота и полноту
severe mood or mental changes;тяжелое настроение или умственные изменения
severe muscle stiffness;Сильная жесткость мышц
shuffling walk;перетасовать прогулку
sore throat;больное горло
sores, ulcers, or white spots in the mouth or on the lips;язвы, язвы или белые пятна во рту или на губах
sores, welting, or blisters;язвы, смазывание или волдыри
stiffness of the limbs;жесткость конечностей
stomach pain;боль в животе
sweating;потоотделение
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
swollen or painful glands;опухшие или болезненные железы
talking or acting with excitement you cannot control;Говорить или действовать с волнением, вы не можете контролировать
trouble breathing;Проблема дыхание
twisting movements of the body;Скручивающие движения тела
twitching;дергается
uncontrolled movements, especially of the face, neck, and back;неконтролируемые движения, особенно лица, шею и спины
unexplained bleeding or bruising;необъяснимое кровотечение или синяки
unpleasant breath odor;Неприятный запах дыхания
unusual behavior;необычное поведение
unusual tiredness or weakness;необычная усталость или слабость
vomiting of blood;рвота крови
weight gain;увеличение веса
yellow eyes and skin;желтые глаза и кожа
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
decreased appetite or weight loss;Снижение аппетита или потери веса
diarrhea or loose stools;диарея или рыхлый стул
heartburn;изжога
sleepiness or unusual drowsiness;сонливость или необычная сонливость
stomach cramps, gas, or pain;Жительские спазмы, газ или боль
trouble sleeping;Проблемы со сном
agitation, anxiety, or nervousness;возбуждение, беспокойство или нервозность
bladder pain;боль мочевого пузыря
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
changes in vision;Изменения в зрения
cloudy urine;облачная моча
constipation;запор
difficult, burning, or painful urination;Сложный, горящий или болезненное мочеиспускание
flushing or redness of the skin, with feeling of warmth or heat;промывка или покраснение кожи, с ощущением тепла или тепла
frequent urge to urinate;Частое желание мочиться
increased appetite;Увеличение аппетита
pain or tenderness around the eyes and cheekbones;боль или нежность вокруг глаз и скул
stuffy or runny nose;душной или жидкий нос
decrease in smell;уменьшение запаха
flushed, dry skin;Промытая сухая кожа
fruit-like breath odor;Фруктовый запах дыхания
increased hunger;Увеличение голода
increased urination;Увеличение мочеиспускания
loss of sense of smell;Потеря обоняния
redness or other discoloration of the skin;покраснение или другое обесцвечивание кожи
severe sunburn;Суровый солнечный ожог
swelling of the breasts (in women);Обухание груди (у женщин)
unexplained weight loss;необъяснимая потеря веса
unusual secretion of milk (in women);необычная секреция молока (у женщин)
anxiety;беспокойство
blurred vision;размытое зрение
chills;озноб
cold sweats;Холодные поты
confusion;путаница
cool, pale skin;Прохладная, бледная кожа
depression;депрессия
dizziness;головокружение
fast heartbeat;Быстрое сердцебиение
headache;головная боль
increased hunger;Увеличение голода
loss of consciousness;потеря сознания
nausea;тошнота
nightmares;кошмары
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
unusual tiredness or weakness;необычная усталость или слабость
agitation;агитация
blistering, peeling, loosening of the skin;волдырь, очистка, ослабление кожи
coma;кома
decreased urine output;Снижение выхода мочи
diarrhea;диарея
hives or welts, itching, or skin rash;ульи или сэлты, зуд или сыпь кожи
hostility;враждебность
irritability;раздражительность
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
lethargy;летаргия
loss of appetite;потеря аппетита
muscle twitching;мышечная подергивание
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
rapid weight gain;Быстрое увеличение веса
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
redness of the skin;покраснение кожи
severe joint pain;Сильная боль в суставах
sores, ulcers, or white spots in the mouth or on the lips;язвы, язвы или белые пятна во рту или на губах
stupor;ступор
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
vomiting;рвота
body aches or pain;боли в теле или боль
cough;кашель
difficulty with breathing;Сложность с дыханием
ear congestion;ушной застой
fever;высокая температура
loss of voice;потеря голоса
muscle aches;мышечные боли
sneezing;чихание
sore throat;больное горло
stuffy or runny nose;душной или жидкий нос
diarrhea;диарея
stomach pain;боль в животе
anxiety;беспокойство
blurred vision;размытое зрение
chills;озноб
cold sweats;Холодные поты
confusion;путаница
cool, pale skin;Прохладная, бледная кожа
depression;депрессия
dizziness;головокружение
fast heartbeat;Быстрое сердцебиение
headache;головная боль
increased hunger;Увеличение голода
loss of consciousness;потеря сознания
nausea;тошнота
nightmares;кошмары
seizures;Припадки
shakiness;шаттин
slurred speech;невнятная речь
unusual tiredness or weakness;необычная усталость или слабость
agitation;агитация
blistering, peeling, loosening of the skin;волдырь, очистка, ослабление кожи
coma;кома
decreased urine output;Снижение выхода мочи
diarrhea;диарея
hives or welts, itching, or skin rash;ульи или сэлты, зуд или сыпь кожи
hostility;враждебность
irritability;раздражительность
large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;Большой, похожий на улей отеки на лице, веки, губы, язык, горло, руки, ноги, ноги или половые органы
lethargy;летаргия
loss of appetite;потеря аппетита
muscle twitching;мышечная подергивание
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
rapid weight gain;Быстрое увеличение веса
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
redness of the skin;покраснение кожи
severe joint pain;Сильная боль в суставах
sores, ulcers, or white spots in the mouth or on the lips;язвы, язвы или белые пятна во рту или на губах
stupor;ступор
swelling of the face, ankles, or hands;Отек лица, лодыжки или руки
vomiting;рвота
bleeding gums;кровоточащие десны
bloody or black, tarry stools;кровавые или черные, табуретки
bloody urine;кровавая моча
blurred vision;размытое зрение
breast pain;Боль в груди
chest pain;боль в груди
clay-colored stools;глиняный стул
clear or bloody discharge from the nipple;Чистый или кровавый выброс из соска
cloudy urine;облачная моча
confusion;путаница
constipation;запор
cough;кашель
dark urine;темная моча
decrease in urine output or decrease in urine-concentrating ability;Уменьшение вывода мочи или уменьшение способности концентрации мочи
diarrhea;диарея
difficulty with swallowing;Сложность при глотании
dimpling of the breast skin;ямочка кожи молочной железы
dizziness;головокружение
dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;головокружение, слабость или легкомысленность, когда внезапно встают из положения лжи или сидящего
drowsiness;сонливость
fast or irregular heartbeat;быстрое или нерегулярное сердцебиение
fever with or without chills;Лихорадка с или без озноб
general feeling of tiredness or weakness;общее чувство усталости или слабости
headache;головная боль
heartburn;изжога
hives, itching, or skin rash;ульи, зуд или кожная сыпь
hoarseness;охриплость
increased thirst;Увеличение жажды
indigestion;расстройство желудка
inverted nipple;перевернутый сосок
loss of appetite;потеря аппетита
loss of consciousness;потеря сознания
lower back or side pain;боль в пояснице или боковой боли
lump in the breast or under the arm;комок в груди или под рукой
muscle pain or cramps;мышечная боль или судороги
muscle spasms or twitching;мышечные спазмы или подергивание
nausea;тошнота
painful or difficult urination;болезненное или трудное мочеиспускание
persistent crusting or scaling of the nipple;постоянная корка или масштабирование соска
pinpoint red spots on the skin;Определите красные пятна на коже
puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;отечность или набухание век или вокруг глаз, лица, губ или языка
redness or swelling of the breast;покраснение или набухание груди
seizures;Припадки
severe stomach pain;Сильная боль в животе
shakiness and unsteady walk;шаткий и неустойчивая прогулка
sore on the skin of the breast that does not heal;болит на коже груди, которая не заживает
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
stomach cramping, burning, or tenderness;Житель спазмы, сжигание или нежность
swelling of the face, fingers, feet, ankles, or lower legs;отек лица, пальцев, ног, лодыжек или нижних ног
swollen, painful, or tender lymph glands in the neck, armpit, or groin;опухшие, болезненные или нежные лимфатические железы в шее, подмышках или паха
tightness in the chest;плотность в груди
trembling;дрожь
troubled breathing;Беспокойное дыхание
unpleasant breath odor;Неприятный запах дыхания
unsteadiness, trembling, or other problems with muscle control or coordination;неустойчивость, дрожь или другие проблемы с контролем мышц или координации
unusual bleeding or bruising;необычное кровотечение или синяки
unusual tiredness or weakness;необычная усталость или слабость
vomiting;рвота
vomiting of blood or material that looks like coffee grounds;рвота крови или материала, похожая на кофейную гуля
weight gain;увеличение веса
yellow eyes or skin;желтые глаза или кожа
burning feeling in the chest or stomach;ощущение сжигания в груди или желудке
decreased interest in sexual intercourse;Снижение интереса к половым актерам
hair loss or thinning of the hair;выпадение волос или истончение волос
inability to have or keep an erection;неспособность иметь или сохранить эрекцию
leg cramps;судороги ног
loss in sexual ability, desire, drive, or performance;Потеря в сексуальных способностях, желании, движении или производительности
pain in the nipples;боль в сосках
sores, welts, or blisters;Язвы, Уэлты или волдыри
stomach upset;расстройство желудка
swelling of the breasts or breast soreness in both females and males;отек груди или болезненность груди как у женщин, так и у мужчин
unusual dullness or feeling of sluggishness;необычная тупость или чувство медлительности
chest pain;боль в груди
decreased urination;Снижение мочеиспускания
diarrhea;диарея
dry mouth;сухой рот
increased thirst;Увеличение жажды
irregular heartbeat;аритмия
loss of appetite;потеря аппетита
mood changes;Изменения настроения
muscle pain or cramps;мышечная боль или судороги
nausea or vomiting;тошнота или рвота
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
seizures;Припадки
swelling of the hands, ankles, feet, or lower legs;Отек руки, лодыжки, ноги или нижние ноги
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
black, tarry stools;Черный, табуретки
dizziness, faintness, or lightheadedness when getting up from a suddenly sitting or lying position;головокружение, слабость или легкомысленность, вставая из внезапного сидения или лежащего положения
ringing or buzzing in the ears or any hearing loss;звон или гудя в ушах или любых потери слуха
skin rash;кожная сыпь
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
bloating;вздутие живота
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
chills;озноб
constipation;запор
darkened urine;затемненная моча
decrease in frequency of urination;уменьшение частоты мочеиспускания
decrease in urine volume;уменьшение объема мочи
difficulty in passing urine (dribbling);Сложность при прохождении мочи (дриблинг)
fever;высокая температура
indigestion;расстройство желудка
itching;зуд
joint or muscle pain;боли в суставах или мышцах
painful or difficult urination;болезненное или трудное мочеиспускание
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
pale skin;бледная кожа
red irritated eyes;красные раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swollen glands;опухшие железы
unusual bleeding or bruising;необычное кровотечение или синяки
yellow eyes or skin;желтые глаза или кожа
increase in urination;Увеличение мочеиспускания
acid or sour stomach;кислотный или кислый желудок
belching;отрыжка
difficulty having a bowel movement (stool);трудности с движением кишечника (стул)
difficulty in moving;Сложность в движении
heartburn;изжога
increased cough;Увеличенный кашель
lack or loss of strength;Недостаток или потеря силы
muscle pain or stiffness;мышечная боль или жесткость
nervousness;нервозность
pain in the joints;боль в суставах
sneezing;чихание
sore throat;больное горло
stomach discomfort, upset, or pain;дискомфорт в животе, расстройство или боль
stuffy or runny nose;душной или жидкий нос
swollen joints;опухшие суставы
trouble sleeping;Проблемы со сном
chest pain;боль в груди
decreased urination;Снижение мочеиспускания
diarrhea;диарея
dry mouth;сухой рот
increased thirst;Увеличение жажды
irregular heartbeat;аритмия
loss of appetite;потеря аппетита
mood changes;Изменения настроения
muscle pain or cramps;мышечная боль или судороги
nausea or vomiting;тошнота или рвота
numbness or tingling in the hands, feet, or lips;онемение или покалывание в руках, ногах или губах
seizures;Припадки
swelling of the hands, ankles, feet, or lower legs;Отек руки, лодыжки, ноги или нижние ноги
trouble breathing;Проблема дыхание
unusual tiredness or weakness;необычная усталость или слабость
black, tarry stools;Черный, табуретки
dizziness, faintness, or lightheadedness when getting up from a suddenly sitting or lying position;головокружение, слабость или легкомысленность, вставая из внезапного сидения или лежащего положения
ringing or buzzing in the ears or any hearing loss;звон или гудя в ушах или любых потери слуха
skin rash;кожная сыпь
blistering, peeling, or loosening of the skin;волдырь, очистка или ослабление кожи
bloating;вздутие живота
"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings";сжигание, ползание, зуд, онемение, покалывание, «булавки и иглы» или покалывание
chills;озноб
constipation;запор
darkened urine;затемненная моча
decrease in frequency of urination;уменьшение частоты мочеиспускания
decrease in urine volume;уменьшение объема мочи
difficulty in passing urine (dribbling);Сложность при прохождении мочи (дриблинг)
fever;высокая температура
indigestion;расстройство желудка
itching;зуд
joint or muscle pain;боли в суставах или мышцах
painful or difficult urination;болезненное или трудное мочеиспускание
pains in the stomach, side, or abdomen, possibly radiating to the back;боли в животе, стороне или животе, возможно, излучаясь в спину
pale skin;бледная кожа
red irritated eyes;красные раздраженные глаза
red skin lesions, often with a purple center;Повреждения красной кожи, часто с фиолетовым центром
sore throat;больное горло
sores, ulcers, or white spots on the lips or in the mouth;язвы, язвы или белые пятна на губах или во рту
swollen glands;опухшие железы
unusual bleeding or bruising;необычное кровотечение или синяки
yellow eyes or skin;желтые глаза или кожа
bloody urine;кровавая моча
cold sweats;Холодные поты
confusion;путаница
decreased frequency or amount of urine;снижение частоты или количества мочи
difficult breathing;Сложное дыхание
dizziness, faintness, or lightheadedness when getting up from a lying position;головокружение, слабость или легкомысленность при входе из лживого положения
